index,d__Bacteria,d__Archaea,Unassigned,d__Eukaryota,asv-id,Hojo,crop-id,year,pref,crop,date,lati,long,latlng1d,SoilTypeID,SoilTypeID2
2021-Hojo-012_S12,93466.0,3969.0,30.0,0.0,Hojo-012,Hojo,142_21_Miyz_Spin,21.0,Miyz,Spin,2021/8/5,31.82225,131.0483,-4.19668,D6h1v4,NA
2021-Hojo-013_S13,125016.0,5259.0,60.0,0.0,Hojo-013,Hojo,143_21_Miyz_Spin,21.0,Miyz,Spin,2021/8/5,31.82225,131.0483,-4.19668,D6h1v5,NA
2021-Hojo-014_S14,93783.0,4908.0,38.0,2.0,Hojo-014,Hojo,144_21_Miyz_Spin,21.0,Miyz,Spin,2021/8/5,31.97806,131.05659,-4.08562,D6c1p2,NA
2021-Hojo-015_S15,154702.0,5526.0,83.0,6.0,Hojo-015,Hojo,145_21_Miyz_Spin,21.0,Miyz,Spin,2021/8/5,31.97806,131.05659,-4.08562,D6c1p2,NA
2021-Hojo-016_S16,94309.0,3248.0,41.0,0.0,Hojo-016,Hojo,146_21_Miyz_Spin,21.0,Miyz,Spin,2021/8/5,31.97806,131.05659,-4.08562,D6c1p2,NA
2021-Hojo-017_S17,83388.0,3763.0,46.0,0.0,Hojo-017,Hojo,147_21_Miyz_Spin,21.0,Miyz,Spin,2021/8/5,31.97806,131.05659,-4.08562,D6c1p2,NA
2021-Hojo-018_S18,53942.0,2140.0,43.0,0.0,Hojo-018,Hojo,148_21_Miyz_Spin,21.0,Miyz,Spin,2021/8/5,31.97806,131.05659,-4.08562,D6c1p2,NA
2021-Hojo-019_S19,50432.0,2103.0,17.0,2.0,Hojo-019,Hojo,149_21_Miyz_Spin,21.0,Miyz,Spin,2021/8/5,31.97806,131.05659,-4.08562,D6c1p2,NA
2021-Hojo-020_S20,92394.0,3747.0,54.0,2.0,Hojo-020,Hojo,150_21_Miyz_Spin,21.0,Miyz,Spin,2021/8/5,31.83526,131.06897,-4.17264,D6h1v4,NA
2021-Hojo-021_S83,211164.0,9048.0,131.0,0.0,Hojo-021,Hojo,151_21_Miyz_Spin,21.0,Miyz,Spin,2021/8/5,31.83566,131.06885,-4.17246,D6h1v4,D6h1v4
2021-Hojo-022_S22,126819.0,6600.0,95.0,0.0,Hojo-022,Hojo,152_21_Miyz_Spin,21.0,Miyz,Spin,2021/8/5,31.97806,131.05659,-4.08562,D6c1p2,NA
2021-Hojo-023_S23,106720.0,5575.0,92.0,0.0,Hojo-023,Hojo,153_21_Miyz_Spin,21.0,Miyz,Spin,2021/8/5,31.97806,131.05659,-4.08562,D6c1p2,NA
2021-Hojo-024_S24,164076.0,6456.0,140.0,4.0,Hojo-024,Hojo,154_21_Miyz_Spin,21.0,Miyz,Spin,2021/8/7,31.97806,131.05659,-4.08562,D6c1p2,NA
2021-Hojo-025_S25,62570.0,3838.0,20.0,0.0,Hojo-025,Hojo,155_21_Miyz_Spin,21.0,Miyz,Spin,2021/8/7,31.78872,131.13366,-4.15616,D6h1v4,NA
2021-Hojo-026_S26,88215.0,4060.0,47.0,0.0,Hojo-026,Hojo,156_21_Miyz_Spin,21.0,Miyz,Spin,2021/8/7,31.97806,131.05659,-4.08562,D6c1p2,NA
2021-Hojo-027_S27,89995.0,4474.0,58.0,0.0,Hojo-027,Hojo,157_21_Miyz_Spin,21.0,Miyz,Spin,2021/8/7,31.97806,131.05659,-4.08562,D6c1p2,NA
2021-Hojo-028_S28,119622.0,6506.0,28.0,0.0,Hojo-028,Hojo,158_21_Miyz_Spin,21.0,Miyz,Spin,2021/8/7,31.6978,131.07019,-4.26431,D6h1p2,D6h1p2
2021-Hojo-029_S84,299285.0,12606.0,128.0,11.0,Hojo-029,Hojo,159_21_Miyz_Spin,21.0,Miyz,Spin,2021/8/7,31.97806,131.05659,-4.08562,D6c1p2,NA
2021-Hojo-030_S30,100394.0,5114.0,72.0,0.0,Hojo-030,Hojo,160_21_Miyz_Spin,21.0,Miyz,Spin,2021/8/7,31.97806,131.05659,-4.08562,D6c1p2,NA
2021-Hojo-031_S31,61020.0,2266.0,71.0,0.0,Hojo-031,Hojo,161_21_Miyz_Spin,21.0,Miyz,Spin,2021/8/7,31.97806,131.05659,-4.08562,D6c1p2,NA
2021-Hojo-032_S32,132754.0,7610.0,53.0,0.0,Hojo-032,Hojo,162_21_Miyz_Spin,21.0,Miyz,Spin,2021/8/7,31.97806,131.05659,-4.08562,D6c1p2,NA
