,Available_P_ST,Pred_Available_P_ST,True_Available_P_ST,土地,作物,土地_作物
354_22_Sait_Pear,124.02566,85.97434,210.0,Sait,Pear,Sait_Pear
361_22_Miee_Soyb,13.0,32.0,19.0,Miee,Soyb,Miee_Soyb
372_22_Miee_Soyb,19.0,20.0,39.0,Miee,Soyb,Miee_Soyb
004_20_Aomo_Rice,2.424924,13.0,10.575076,Aomo,Rice,Aomo_Rice
008_20_Aomo_Rice,2.3525257,8.0,10.352526,Aomo,Rice,Aomo_Rice
018_20_Akit_Soyb,6.0,20.0,14.0,Akit,Soyb,Akit_Soyb
095_20_Hyog_Rice,8.296471,20.29647,12.0,Hyog,Rice,Hyog_Rice
025_20_Niig_Rice,2.2402296,8.0,10.24023,Niig,Rice,Niig_Rice
028_20_Niig_Rice,2.7752934,10.978383,8.20309,Niig,Rice,Niig_Rice
141_21_Miyz_Spin,158.31856,205.31856,47.0,Miyz,Spin,Miyz_Spin
146_21_Miyz_Spin,93.41142,157.41142,64.0,Miyz,Spin,Miyz_Spin
148_21_Miyz_Spin,6.914898,42.914898,36.0,Miyz,Spin,Miyz_Spin
157_21_Miyz_Spin,0.8691864,63.869186,63.0,Miyz,Spin,Miyz_Spin
165_21_Miyz_Spin,237.00006,100.0,337.00006,Miyz,Spin,Miyz_Spin
178_21_Miyz_Spin,20.403553,80.40356,60.000004,Miyz,Spin,Miyz_Spin
183_21_Miyz_Spin,19.0,37.0,18.0,Miyz,Spin,Miyz_Spin
209_21_Miyz_Spin,12.237488,144.76251,157.0,Miyz,Spin,Miyz_Spin
222_21_Miyz_Edam,3.9999924,74.0,77.99999,Miyz,Edam,Miyz_Edam
244_21_Aomo_Appl,110.0,43.0,153.0,Aomo,Appl,Aomo_Appl
246_21_Aomo_Appl,23.81601,45.81601,22.0,Aomo,Appl,Aomo_Appl
260_21_Naga_Appl,2.0,43.0,41.0,Naga,Appl,Naga_Appl
261_21_Naga_Appl,17.398262,39.398262,22.0,Naga,Appl,Naga_Appl
262_21_Naga_Appl,7.0234337,43.976566,51.0,Naga,Appl,Naga_Appl
263_21_Naga_Appl,86.831055,101.831055,15.0,Naga,Appl,Naga_Appl
275_22_Naga_Rice,6.4437046,34.443703,27.999998,Naga,Rice,Naga_Rice
289_22_Hokk_Whea,8.0,21.0,13.0,Hokk,Whea,Hokk_Whea
291_22_Hokk_Whea,27.700283,21.299717,49.0,Hokk,Whea,Hokk_Whea
295_22_Hokk_Whea,8.096426,20.096426,12.0,Hokk,Whea,Hokk_Whea
304_22_Hokk_Whea,9.35066,25.35066,16.0,Hokk,Whea,Hokk_Whea
307_22_Hokk_Whea,116.340744,55.659237,171.99998,Hokk,Whea,Hokk_Whea
