,NH4_N_ST,Pred_NH4_N_ST,True_NH4_N_ST,土地,作物,土地_作物
221_21_Miyz_Edam,0.0,0.4,0.4,Miyz,Edam,Miyz_Edam
248_21_Aomo_Appl,0.29999995,0.9,0.6,Aomo,Appl,Aomo_Appl
302_22_Hokk_Whea,0.19999999,0.7,0.5,Hokk,Whea,Hokk_Whea
303_22_Hokk_Whea,0.099999994,0.4,0.5,Hokk,Whea,Hokk_Whea
305_22_Hokk_Whea,0.08986065,0.41013935,0.5,Hokk,Whea,Hokk_Whea
323_22_Niig_Rice,0.24509788,0.94509786,0.7,Niig,Rice,Niig_Rice
325_22_Niig_Rice,0.29999998,0.4,0.7,Niig,Rice,Niig_Rice
338_22_Yama_Rice,0.099999994,0.3,0.4,Yama,Rice,Yama_Rice
343_22_Yama_Rice,0.1,0.2,0.1,Yama,Rice,Yama_Rice
352_22_Sait_Pear,0.6,0.4,1.0,Sait,Pear,Sait_Pear
364_22_Miee_Soyb,3.0,0.9,3.9,Miee,Soyb,Miee_Soyb
003_20_Aomo_Rice,0.032356203,0.9,0.9323562,Aomo,Rice,Aomo_Rice
021_20_Niig_Rice,0.17498189,0.9,0.7250181,Niig,Rice,Niig_Rice
138_21_Akit_Soyb,0.0,0.4,0.4,Akit,Soyb,Akit_Soyb
176_21_Miyz_Spin,0.099999994,0.4,0.3,Miyz,Spin,Miyz_Spin
179_21_Miyz_Spin,0.099999994,0.3,0.4,Miyz,Spin,Miyz_Spin
181_21_Miyz_Spin,0.099999994,0.3,0.4,Miyz,Spin,Miyz_Spin
